source,early,late,category,further category,link
Origen,203,250,Church Fathers,Apostolic Fathers,https://www.earlychristianwritings.com/origen.html
Lucian of Antioch,210,245,Church Fathers,Quoted Authors,https://www.earlychristianwritings.com/lucianantioch.html
Callistus,217,222,Church Fathers,Quoted Authors,https://www.earlychristianwritings.com/callistus.html
Dionysius of Alexandria,230,265,Church Fathers,Apostolic Fathers,https://www.earlychristianwritings.com/dionysiusalexandria.html
Firmillian of Caesarea,230,268,Church Fathers,Apostolic Fathers,https://www.earlychristianwritings.com/firmilian.html
Commodian,240,260,Church Fathers,Apostolic Fathers,https://www.earlychristianwritings.com/commodian.html
Cyprian,246,258,Church Fathers,Apostolic Fathers,https://www.earlychristianwritings.com/cyprian.html
Gospel of Mani,250,274,Gnostics,Gospels,https://www.earlychristianwritings.com/gospelmani.html
Teachings of Silvanus,250,300,Gnostics,Additional Nag Hammadi,https://www.earlychristianwritings.com/silvanus.html
Excerpt from the Perfect Discourse,250,300,Gnostics,Quoted Authors,https://www.earlychristianwritings.com/perfectdiscourse.html
Coptic Apocalypses of Elijah,250,350,Apocrypha,Apocalypses,https://www.earlychristianwritings.com/copticelijah.html
Apocalypses of Paul,250,400,Apocrypha,Apocalypses,https://www.earlychristianwritings.com/apocalypsepaul.html
Pope Cornelius,251,253,Church Fathers,Apostolic Fathers,https://www.earlychristianwritings.com/cornelius.html
Novatian,251,158,Church Fathers,Apostolic Fathers,https://www.earlychristianwritings.com/novatian.html
Pope Stephen,254,257,Church Fathers,Apostolic Fathers,https://www.earlychristianwritings.com/stephen.html
Dionysius of Rome,259,268,Church Fathers,Quoted Authors,https://www.earlychristianwritings.com/dionysiusrome.html
Theognostus,260,280,Church Fathers,Quoted Authors,https://www.earlychristianwritings.com/theognostus.html
Gregory Thaumaturgus,265,282,Church Fathers,Apostolic Fathers,https://www.earlychristianwritings.com/gregory.html
Pope Felix,269,274,Church Fathers,Apostolic Fathers,https://www.earlychristianwritings.com/felix.html
Victorinus of Pettau,270,310,Church Fathers,Apostolic Fathers,https://www.earlychristianwritings.com/victorinus.html
Methodius,270,312,Church Fathers,Apostolic Fathers,https://www.earlychristianwritings.com/methodius.html
Marsanes,270,330,Gnostics,Additional Nag Hammadi,https://www.earlychristianwritings.com/marsanes.html
